id,title,slug,strand,subStrand,learningOutcome,specificLearningOutcome,keyInquiryQuestion,suggestedLearningExperience,activityInstructions,status,isAvailable,draftSteps,publishedSteps,batchId,generatedAt,publishedAt,generator,videoId,isRecoveryBatch,isOldV2,updatedAt
"af79707c-74f4-403e-b704-06e777df3aac","Drawing Straight Lines","g2-mathematics-drawing-straight-lines","Geometry","3.1 Lines","By the end of the lesson, the learner should be able to: draw straight lines for application in real life","","What types of lines do you know?","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:23.833Z","2026-06-11T09:54:17.036Z","","","false","false","2026-06-10T08:16:05.508+00:00"
"597dfffc-1983-4c17-afb9-fd7162e73fb8","Lines in the Environment: Practice and Assessment","g2-mathematics-lines-in-the-environment-practice-and-assessment","Geometry","3.1 Lines","By the end of the lesson, the learner should be able to: draw and model straight and curved lines","","What types of lines do you know?","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:26.609Z","2026-06-11T09:54:17.945Z","","","false","false","2026-06-10T08:16:06.676+00:00"
"b1612ed2-525f-4f6c-a81b-48a7d9836a7e","Lines That Make Different Shapes","g2-mathematics-lines-that-make-different-shapes","Geometry","3.2 Shapes","By the end of the lesson, the learner should be able to: discuss types of lines that make different shapes","","What shapes can you identify in your environment?","Learners sort and group items by shape, identify rectangles, circles, triangles, ovals, and squares in the classroom and environment, discuss the lines that form shapes, and make patterns using the five shapes.","Learners sort and group items by shape, identify rectangles, circles, triangles, ovals, and squares in the classroom and environment, discuss the lines that form shapes, and make patterns using the five shapes.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:27.988Z","2026-06-11T09:54:18.583Z","","","false","false","2026-06-10T08:16:07.465+00:00"
"814cf15e-80ae-4778-8c55-1f99ccb5f5ae","Making Patterns with Five Shapes","g2-mathematics-making-patterns-with-five-shapes","Geometry","3.2 Shapes","By the end of the lesson, the learner should be able to: make patterns involving rectangles, circles, triangles, ovals and squares","","What shapes can you identify in your environment?","Learners sort and group items by shape, identify rectangles, circles, triangles, ovals, and squares in the classroom and environment, discuss the lines that form shapes, and make patterns using the five shapes.","Learners sort and group items by shape, identify rectangles, circles, triangles, ovals, and squares in the classroom and environment, discuss the lines that form shapes, and make patterns using the five shapes.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:28.733Z","2026-06-11T09:54:18.997Z","","","false","false","2026-06-10T08:16:07.849+00:00"
"10f674d4-3f62-4f9e-9008-1d1eb825595a","Modelling Curved Lines","g2-mathematics-modelling-curved-lines","Geometry","3.1 Lines","By the end of the lesson, the learner should be able to: model curved lines using safe materials","","What types of lines do you know?","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:25.858Z","2026-06-11T09:54:17.704Z","","","false","false","2026-06-10T08:16:06.292+00:00"
"0aec1d3b-7635-46fe-b4af-3a50a38dae65","Modelling Straight Lines","g2-mathematics-modelling-straight-lines","Geometry","3.1 Lines","By the end of the lesson, the learner should be able to: model straight lines using safe materials","","What types of lines do you know?","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","Learners draw straight and curved lines on the ground, in books, and with safe materials. They model lines using strings, sticks, or body movements, identify lines in the environment, and explain where such lines are seen in real life.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:25.159Z","2026-06-11T09:54:17.317Z","","","false","false","2026-06-10T08:16:05.896+00:00"
"44ff5ced-66a0-401b-89df-47566ae901a8","Sorting and Grouping Five Shapes","g2-mathematics-sorting-and-grouping-five-shapes","Geometry","3.2 Shapes","By the end of the lesson, the learner should be able to: sort and group items using shape attributes","","What shapes can you identify in your environment?","Learners sort and group items by shape, identify rectangles, circles, triangles, ovals, and squares in the classroom and environment, discuss the lines that form shapes, and make patterns using the five shapes.","Learners sort and group items by shape, identify rectangles, circles, triangles, ovals, and squares in the classroom and environment, discuss the lines that form shapes, and make patterns using the five shapes.","","true","10","10","grade-2-math-batch-3","2026-06-10T07:32:27.361Z","2026-06-11T09:54:18.297Z","","","false","false","2026-06-10T08:16:07.078+00:00"
"f57f76e0-d89a-4008-9133-96307600775a","Capacity in Litres: Practice and Assessment","g2-mathematics-capacity-in-litres-practice-and-assessment","Measurement","2.3 Capacity","By the end of the lesson, the learner should be able to: measure capacity in litres and explain the result","","What can you use to measure capacity of different containers?","Learners use containers of equal and known capacity to fill larger containers, count litres used, identify the litre as a standard unit, measure capacity in litres, and connect the activity to water use at home and school.","Learners use containers of equal and known capacity to fill larger containers, count litres used, identify the litre as a standard unit, measure capacity in litres, and connect the activity to water use at home and school.","","true","0","10","grade-2-math-batch-2","2026-06-09T17:01:02.245Z","2026-06-11T09:54:09.720Z","","","false","false","2026-06-10T08:15:58.54+00:00"
"83586eb9-46fa-447f-8a4d-d2a733e8098d","Capacity in Litres: Real-Life Practice","g2-mathematics-capacity-in-litres-real-life-practice","Measurement","2.3 Capacity","By the end of the lesson, the learner should be able to: apply litre measurement to a real-life situation","","What can you use to measure capacity of different containers?","Learners use containers of equal and known capacity to fill larger containers, count litres used, identify the litre as a standard unit, measure capacity in litres, and connect the activity to water use at home and school.","Learners use containers of equal and known capacity to fill larger containers, count litres used, identify the litre as a standard unit, measure capacity in litres, and connect the activity to water use at home and school.","","true","0","10","grade-2-math-batch-2","2026-06-09T17:01:02.884Z","2026-06-11T09:54:09.332Z","","","false","false","2026-06-10T08:15:58.127+00:00"
"f1a523d2-a0fb-43d7-8db9-2896598a9c05","Choosing What to Buy with Sh.100","g2-mathematics-choosing-what-to-buy-with-sh-100","Measurement","2.5 Money","By the end of the lesson, the learner should be able to: make simple choices about goods, services, needs, and wants","","How can you identify and use different Kenyan currencies?","Learners sort Kenyan coins and notes up to Sh.100, count different denominations, represent the same amount in different ways, use a classroom shop to connect money to goods and services, and discuss needs and wants.","Learners sort Kenyan coins and notes up to Sh.100, count different denominations, represent the same amount in different ways, use a classroom shop to connect money to goods and services, and discuss needs and wants.","","true","0","10","grade-2-math-batch-3","2026-06-10T07:32:22.492Z","2026-06-11T09:54:16.372Z","","","false","false","2026-06-10T08:16:04.713+00:00"
